left_x_m,left_y_m,right_x_m,right_y_m
-83.674120,-112.871954,-78.285364,-108.267017
-103.313142,-83.718238,-103.204279,-79.472552
-115.386134,-92.144293,-124.127894,-86.603128
-127.001897,-104.522103,-131.399993,-102.116214
-159.682798,-118.619960,-159.573935,-114.537569
-183.970304,-100.733644,-179.713731,-98.295096
-209.008969,-80.125734,-205.699510,-76.435253
-229.410038,-79.755597,-228.702423,-73.942272
-229.714856,-81.747804,-236.497069,-80.125734
-233.144065,-85.002831,-236.867206,-84.600035
-231.238949,-100.733644,-236.159591,-100.319962
-229.410038,-109.094381,-234.156498,-109.094381
-236.116046,-113.884387,-236.007182,-109.094381
-250.888858,-114.809729,-250.779994,-111.282543
-267.947810,-108.267017,-268.405037,-105.458332
-276.656911,-112.871954,-276.373865,-102.780283
-302.337872,-103.531443,-296.600752,-102.116214
-307.465355,-87.419606,-295.098432,-91.893907
-301.673803,-85.002831,-289.851198,-88.497357
-302.991054,-75.303069,-298.549413,-72.472612
-310.938109,-68.727698,-305.582012,-68.727698
-306.289626,-44.287784,-302.011281,-44.287784
-309.098312,-28.818243,-304.373624,-29.123062
-302.337872,-14.796591,-297.722048,-15.101409
-302.991054,0.281040,-298.952209,-0.197960
-296.851138,13.322919,-292.180883,12.898350
-298.135731,23.294840,-293.138884,22.772294
-296.056433,25.929343,-290.330199,25.929343
-295.740728,33.702215,-292.757861,33.179669
-287.499741,74.166876,-283.460896,73.753193
-284.103192,81.732907,-280.815506,80.644269
-280.673983,90.681508,-276.373865,90.823031
-283.166963,99.956701,-277.636684,101.883589
-285.670830,104.637843,-279.759528,107.109050
-289.600812,109.427848,-283.166963,112.399829
-295.098432,115.448014,-284.593079,115.883469
-283.460896,123.068477,-282.742395,115.448014
-271.953996,119.236473,-280.673983,111.909942
-268.405037,117.233380,-277.636684,107.109050
-250.398971,110.472940,-254.111225,102.264613
-240.677437,101.883589,-242.441030,98.410835
-212.459950,96.723447,-216.030681,92.249146
-189.522355,80.230587,-192.407245,77.443675
-166.236397,67.667709,-173.922178,62.725294
-144.888213,40.005427,-151.136993,37.621311
-129.799696,31.971281,-129.690832,27.311912
-104.706599,41.616611,-101.843482,38.492221
-92.241698,46.831185,-90.238605,45.328865
-88.997558,58.882403,-86.210645,56.117264
-79.319569,64.129637,-74.453359,61.190315
-75.716179,74.591444,-74.050563,73.165329
-67.137714,81.319225,-60.921594,78.771813
-64.720939,90.681508,-61.596549,90.028326
-54.019631,98.182221,-50.514218,96.723447
-53.039857,112.889716,-48.511125,109.689121
-48.032124,118.507086,-41.228139,110.179008
-41.228139,120.880316,-37.842476,112.399829
-32.965380,122.415295,-32.279538,117.233380
-14.480313,120.880316,-18.149022,111.594237
-8.917375,119.933201,-11.976446,111.594237
-3.833437,119.671928,-5.912735,111.757533
1.392024,119.933201,0.379591,111.909942
6.149370,121.217793,6.388870,111.757533
22.272093,123.982933,22.707548,116.982993
32.592378,128.315711,32.701242,121.762112
56.879883,125.267525,56.988747,120.150929
73.525152,128.903575,73.721107,123.438614
84.237347,128.315711,84.520392,122.415295
